id,Name,Address,Website,Instate-On campus,Instate-Off campus,Instate-Off Campus with Family,Outstate-On campus,Outstate-Off campus,Outstate-Off Campus with Family
461005,American College for Medical Careers,"American College for Medical Careers
Address : 5959 Lake Ellenor Lake, Orlando, Florida 32809",www.acmc.edu,"$67,630",,"$42,110",,,
438586,American InterContinental University-Atlanta,"American InterContinental University-Atlanta
Address : 6600 Peachtree Dunwoody Road, 500 Embassy Row, Atlanta, Georgia 30328",www.aiuniv.edu/online-campus/campus-locations/atlanta,"$26,141",,"$19,533",,,
445133,American InterContinental University-Houston,"American InterContinental University-Houston
Address : 9999 Richmond Avenue, Houston, Texas 77042",www.aiuniv.edu/online-campus/campus-locations/houston,"$24,804",,"$18,196",,,
445027,American InterContinental University-Online,"American InterContinental University-Online
Address : 231 N. Martingale Rd., 6th Floor, Schaumburg, Illinois 60173",www.aiuniv.edu,"$17,580",,"$12,015",,,
164447,American International College,"American International College
Address : 1000 State Street, Springfield, Massachusetts 01109",www.aic.edu,"$49,490",,,"$42,260","$37,630",
142957,American Islamic College,"American Islamic College
Address : 640 W Irving Park RD, Chicago, Illinois 60613",www.aicusa.edu,"$15,575",,,"$15,200","$8,700",
116846,American Jewish University,"American Jewish University
Address : 15600 Mulholland Dr, Los Angeles, California 90077-1519",www.aju.edu,"$51,820",,,"$55,676","$36,750",
188854,American Musical and Dramatic Academy,"American Musical and Dramatic Academy
Address : 211 West 61st Street, New York, New York 10023",www.amda.edu,"$51,950",,,"$51,950","$39,800",
232797,American National University,"American National University
Address : 1813 East Main Street, Salem, Virginia 24153",www.an.edu/locations/,"$29,036",,"$21,852",,,
457004,American National University-Columbus,"American National University-Columbus
Address : 5665 Forest Hills Blvd, Columbus, Ohio 45420",www.an.edu/locations/columbus-oh/,"$29,036",,"$21,852",,,
157021,American National University-Lexington,"American National University-Lexington
Address : 2376 Sir Barton Way, Lexington, Kentucky 40509",www.an.edu/locations/,"$28,987",,"$21,907",,,
449339,American Public University System,"American Public University System
Address : 111 W Congress St, Charles Town, West Virginia 25414",www.apus.edu,"$16,112",,"$9,088",,,
240736,American Samoa Community College,"American Samoa Community College
Address : PO Box 2609, Pago Pago, American Samoa 96799-2609",www.amsamoa.edu,"$9,900",,"$7,400","$10,200","$7,700",
